REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,MINGASINT,2021,17.4459838586924
GLOBAL,MINGASINT,2022,17.4459838586924
GLOBAL,MINGASINT,2023,17.4459837773672
GLOBAL,MINGASINT,2024,17.4459838586924
GLOBAL,MINGASINT,2025,17.445983769974
GLOBAL,MINGASINT,2026,17.445983769974
GLOBAL,MINGASINT,2027,17.4459837773672
GLOBAL,MINGASINT,2028,17.445983708364
GLOBAL,MINGASINT,2029,17.445983708364
GLOBAL,MINGASINT,2030,17.4459837773672
GLOBAL,MINGASINT,2031,17.4459838586924
GLOBAL,MINGASINT,2032,17.445983769974
GLOBAL,MINGASINT,2033,17.4459837773672
GLOBAL,MINGASINT,2034,17.4459838586924
GLOBAL,MINGASINT,2035,17.4459837773672
GLOBAL,MINGASINT,2036,17.4459838586924
GLOBAL,MINGASINT,2037,17.445983769974
GLOBAL,MINGASINT,2038,17.445983769974
GLOBAL,MINGASINT,2039,23.2747826327232
GLOBAL,MINGASINT,2040,23.668744992951197
GLOBAL,MINGASINT,2041,23.823442599178797
GLOBAL,MINGASINT,2042,23.9781403606636
GLOBAL,MINGASINT,2043,24.34410358830346
GLOBAL,MINGASINT,2044,24.58807938087168
GLOBAL,MINGASINT,2045,24.83205485765168
GLOBAL,MINGASINT,2046,26.32218349245108
GLOBAL,MINGASINT,2047,27.83828868846184
GLOBAL,MINGASINT,2048,29.43604956026616
GLOBAL,MINGASINT,2049,31.26738954488677
GLOBAL,MINGASINT,2050,32.94611795219752
