REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2021,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2021,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2021,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2021,S2D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2021,S2D2,2.1711065544
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2022,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2022,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2022,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2022,S2D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2022,S2D2,2.1711065544
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2023,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2023,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2023,S1D2,0.17968735071
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2023,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2023,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2023,S2D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2024,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2024,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2024,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2024,S2D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2024,S2D2,2.1711065544
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2025,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2025,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2025,S1D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2025,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2025,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2025,S2D2,0.23224843026000003
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2026,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2026,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2026,S1D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2026,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2026,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2026,S2D2,0.23224843026000003
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2027,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2027,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2027,S1D2,0.17968735071
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2027,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2027,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2027,S2D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2028,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2028,S1D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2028,S1D2,2.3465751318000003
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2028,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2028,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2029,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2029,S1D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2029,S1D2,2.3465751318000003
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2029,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2029,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2030,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2030,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2030,S1D2,0.17968735071
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2030,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2030,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2030,S2D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2031,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2031,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2031,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2031,S2D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2031,S2D2,2.1711065544
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2032,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2032,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2032,S1D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2032,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2032,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2032,S2D2,0.23224843026000003
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2033,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2033,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2033,S1D2,0.17968735071
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2033,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2033,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2033,S2D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2034,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2034,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2034,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2034,S2D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2034,S2D2,2.1711065544
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2035,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2035,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2035,S1D2,0.17968735071
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2035,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2035,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2035,S2D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2036,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2036,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2036,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2036,S2D1,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2036,S2D2,2.1711065544
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2037,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2037,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2037,S1D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2037,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2037,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2037,S2D2,0.23224843026000003
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2038,S1D4,2.6653652279999998
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2038,S1D1,2.110580739
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2038,S1D2,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2038,S2D4,3.4910352000000002
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2038,S2D1,1.9942713855
GLOBAL,PWRBIOGUYXX01,BIOGUYXX,1,2038,S2D2,0.23224843026000003
GLOBAL,PWRCCGGUYXX01,GASINT,2,2021,S1D4,4.1808028
GLOBAL,PWRCCGGUYXX01,GASINT,2,2021,S1D1,4.1808028
GLOBAL,PWRCCGGUYXX01,GASINT,2,2021,S1D2,3.9982292
GLOBAL,PWRCCGGUYXX01,GASINT,2,2021,S2D4,4.1808028
