REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,MINGASINT,GASINT,2021,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2022,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2023,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2024,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2025,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2026,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2027,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2028,0.21282051800000001
GLOBAL,S1D1,MINGASINT,GASINT,2029,0.21282051800000001
GLOBAL,S1D1,MINGASINT,GASINT,2030,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2031,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2032,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2033,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2034,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2035,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2036,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2037,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2038,0.2592097736
GLOBAL,S1D1,MINGASINT,GASINT,2039,0.330134438
GLOBAL,S1D1,MINGASINT,GASINT,2040,0.3365999964
GLOBAL,S1D1,MINGASINT,GASINT,2041,0.3388000044
GLOBAL,S1D1,MINGASINT,GASINT,2042,0.34099999999999997
GLOBAL,S1D1,MINGASINT,GASINT,2043,0.3442999996
GLOBAL,S1D1,MINGASINT,GASINT,2044,0.34649999519999997
GLOBAL,S1D1,MINGASINT,GASINT,2045,0.3487000032
GLOBAL,S1D1,MINGASINT,GASINT,2046,0.3619000016
GLOBAL,S1D1,MINGASINT,GASINT,2047,0.373999996
GLOBAL,S1D1,MINGASINT,GASINT,2048,0.38610000279999995
GLOBAL,S1D1,MINGASINT,GASINT,2049,0.3993000012
GLOBAL,S1D1,MINGASINT,GASINT,2050,0.4113999956
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2021,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2022,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2023,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2024,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2025,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2026,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2027,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2028,0.11731392
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2029,0.11731392
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2030,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2031,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2032,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2033,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2034,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2035,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2036,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2037,0.0709246644
GLOBAL,S1D1,PWRBIOGUYXX01,ELCGUYXX01,2038,0.0709246644
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2021,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2022,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2023,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2024,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2025,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2026,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2027,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2028,0.21282051800000001
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2029,0.21282051800000001
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2030,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2031,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2032,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2033,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2034,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2035,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2036,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2037,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2038,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2039,0.330134438
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2040,0.3365999964
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2041,0.3388000044
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2042,0.34099999999999997
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2043,0.3442999996
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2044,0.34649999519999997
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2045,0.3487000032
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2046,0.3619000016
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2047,0.373999996
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2048,0.38610000279999995
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2049,0.3993000012
GLOBAL,S1D1,PWRCCGGUYXX01,ELCGUYXX01,2050,0.4113999956
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2021,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2022,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2023,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2024,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2025,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2026,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2027,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2028,0.21282051800000001
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2029,0.21282051800000001
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2030,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2031,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2032,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2033,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2034,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2035,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2036,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2037,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2038,0.2592097736
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2039,0.330134438
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2040,0.3365999964
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2041,0.3388000044
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2042,0.34099999999999997
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2043,0.3442999996
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2044,0.34649999519999997
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2045,0.3487000032
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2046,0.3619000016
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2047,0.373999996
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2048,0.38610000279999995
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2049,0.3993000012
GLOBAL,S1D1,PWRCCGGUYXX01,GASINT,2050,0.4113999956
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2021,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2022,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2023,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2024,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2025,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2026,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2027,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2028,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2029,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2030,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2031,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2032,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2033,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2034,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2035,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2036,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2037,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2038,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2039,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2040,0.3365999964
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2041,0.3388000044
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2042,0.34099999999999997
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2043,0.3442999996
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2044,0.34649999519999997
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2045,0.3487000032
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2046,0.3619000016
GLOBAL,S1D1,PWRTRNGUYXX,ELCGUYXX02,2047,0.373999996
