,id,cluster,index_right,sqkm,CON cwd Rain-fed Low_mean,SGC yld Rain-fed High_mean,CON evt Irrigation High_mean,CAS yld Irrigation High_mean,MZE evt Rain-fed Low_mean,SGC yld Irrigation High_mean,CAS cwd Irrigation High_mean,MZE evt Rain-fed High_mean,CON yld Irrigation Low_mean,SGC cwd Rain-fed High_mean,MZE yld Rain-fed High_mean,MZE yld Irrigation High_mean,MZE yld Irrigation Low_mean,CAS evt Irrigation Low_mean,COC yld Irrigation Low_mean,COC evt Irrigation High_mean,CON cwd Irrigation High_mean,CON yld Rain-fed High_mean,SGC yld Irrigation Low_mean,CAS yld Rain-fed High_mean,SGC cwd Irrigation High_mean,MZE cwd Irrigation Low_mean,SGC cwd Irrigation Low_mean,CAS evt Rain-fed High_mean,SGC evt Irrigation Low_mean,CON yld Irrigation High_mean,COC cwd Rain-fed High_mean,MZE yld Rain-fed Low_mean,SGC yld Rain-fed Low_mean,CAS yld Irrigation Low_mean,CAS cwd Rain-fed High_mean,COC cwd Irrigation High_mean,CAS cwd Rain-fed Low_mean,COC evt Rain-fed Low_mean,CAS cwd Irrigation Low_mean,SGC evt Irrigation High_mean,CON cwd Irrigation Low_mean,COC yld Irrigation High_mean,CON cwd Rain-fed High_mean,MZE cwd Irrigation High_mean,CON yld Rain-fed Low_mean,COC cwd Rain-fed Low_mean,SGC evt Rain-fed High_mean,CAS evt Irrigation High_mean,CON evt Irrigation Low_mean,COC yld Rain-fed Low_mean,MZE evt Irrigation High_mean,COC evt Rain-fed High_mean,SGC evt Rain-fed Low_mean,COC evt Irrigation Low_mean,SGC cwd Rain-fed Low_mean,MZE cwd Rain-fed High_mean,MZE evt Irrigation Low_mean,COC cwd Irrigation Low_mean,COC yld Rain-fed High_mean,MZE cwd Rain-fed Low_mean,CAS yld Rain-fed Low_mean,CAS evt Rain-fed Low_mean,CON evt Rain-fed High_mean,CON evt Rain-fed Low_mean,precipitation prc_mean,LCType2,LCType6,LCType10,LCType7,LCType3,geometry
10,10,CUY,1,99.43565897400924,0.0,12673.5,0.0,10498.0,398.25,12673.5,1.0,423.5,0.0,2.5,4748.0,4747.75,1513.5,717.0,671.75,969.25,0.0,0.0,3905.25,10497.5,1.0,1.0,1.0,777.25,1030.5,0.0,1.0,1477.0,3902.75,2353.5,1.0,1.0,1.0,885.75,1.0,1167.0,0.0,2862.5,0.0,1.0,0.0,1.0,1115.0,807.75,0.0,668.5,415.25,965.5,997.75,873.5,1.0,1.0,406.25,1.0,2860.25,1.0,2355.75,707.25,0.0,0.0,2217.25,4.0,,,,,"POLYGON ((-61.07191701815387 5.901766967522164, -61.07191701800514 5.811766967785121, -61.16191701797359 5.811766967928738, -61.16191701812269 5.901766967665603, -61.07191701815387 5.901766967522164))"
11,11,CUY,1,99.41975687353592,0.0,12776.0,0.0,10431.25,391.75,12776.0,1.0,418.25,0.0,1.0,4510.25,4510.0,1413.5,703.5,472.5,955.0,0.0,0.0,3873.5,10430.75,1.0,1.0,1.0,761.75,1011.25,0.0,1.0,1380.25,3872.75,2252.0,1.0,1.0,1.0,662.25,1.0,1149.75,0.0,2772.5,0.0,1.0,0.0,0.75,1095.25,795.75,0.0,470.25,410.0,946.5,974.25,647.25,1.0,1.0,399.75,0.75,2771.0,1.0,2253.75,690.0,0.0,0.0,2267.0,3.0,1.0,,,,"POLYGON ((-61.07191701830259 5.991766967259844, -61.07191701815387 5.901766967522164, -61.16191701812269 5.901766967665603, -61.16191701827177 5.991766967403096, -61.07191701830259 5.991766967259844))"
12,12,CUY,1,99.40361330675631,0.0,12728.0,209.25,10363.75,396.0,12728.0,1.0,424.0,0.0,1.0,4486.75,4486.75,1431.5,703.25,493.75,974.75,0.25,1090.25,3900.75,10363.75,1.0,1.0,1.0,771.0,1016.0,1091.5,1.0,1397.75,3896.75,2227.5,1.0,1.0,1.0,668.75,1.0,1160.5,0.0,2777.5,0.25,1.0,0.0,0.75,1107.5,801.5,0.0,491.0,415.75,957.75,982.25,636.0,1.0,1.0,404.0,0.75,2774.5,1.0,2226.75,695.0,210.75,0.0,2304.25,2.0,2.0,,,,"POLYGON ((-61.07191701845133 6.081766966998173, -61.07191701830259 5.991766967259845, -61.16191701827177 5.991766967403098, -61.16191701842087 6.08176696714124, -61.07191701845133 6.081766966998173))"
13,13,CUY,1,99.38722830789963,0.2,11850.8,679.0,10190.0,412.4,11851.2,1.0,441.4,271.2,1.4,4580.8,4580.8,1451.8,726.2,714.6,1023.6,0.8,3715.6,3930.0,10188.6,1.0,1.0,1.0,803.6,1055.2,3720.2,1.0,1417.0,3919.8,2228.8,1.0,1.0,1.0,917.6,1.0,1206.6,0.2,2835.6,0.8,1.0,271.0,1.0,1153.8,831.2,151.4,710.8,433.2,997.6,1023.6,861.6,1.0,1.0,420.4,1.0,2830.4,1.0,2224.0,723.2,681.4,164.0,2355.2,2.0,3.0,,,,"POLYGON ((-61.07191701860006 6.17176696673715, -61.07191701845133 6.081766966998173, -61.16191701842087 6.08176696714124, -61.16191701856996 6.171766966880027, -61.07191701860006 6.17176696673715))"
14,14,CUY,1,99.37060191172952,0.3333333333333333,11223.666666666666,863.6666666666666,10052.333333333334,423.6666666666667,11227.0,1.0,454.3333333333333,409.6666666666667,2.3333333333333335,4618.0,4618.0,1518.0,746.6666666666666,722.3333333333334,1052.3333333333333,1.0,4549.666666666667,3584.6666666666665,10045.666666666666,1.0,1.0,1.0,821.3333333333334,1086.0,4555.333333333333,1.0,1481.6666666666667,3572.3333333333335,2241.0,1.0,1.0,1.0,941.6666666666666,1.0,1241.3333333333333,0.3333333333333333,2735.3333333333335,1.0,1.0,409.3333333333333,1.0,1180.0,854.3333333333334,263.3333333333333,720.6666666666666,445.3333333333333,1020.0,1048.0,885.6666666666666,1.0,1.0,432.0,1.0,2729.0,1.0,2233.6666666666665,739.6666666666666,861.6666666666666,280.3333333333333,2392.6666666666665,1.0,2.0,,,,"POLYGON ((-61.0719170187488 6.261766966476774, -61.07191701860006 6.17176696673715, -61.16191701856996 6.171766966880027, -61.16191701871906 6.261766966619461, -61.0719170187488 6.261766966476774))"
15,15,CUY,1,99.35373415351965,0.5,10106.0,879.0,10153.0,431.75,10111.5,1.0,463.0,611.0,6.25,4931.5,4931.5,1680.5,762.25,718.75,1071.75,1.0,4516.5,3363.0,10144.5,1.0,1.0,1.0,835.75,1108.0,4522.25,1.0,1640.25,3349.75,2363.75,1.0,1.0,1.0,959.5,1.0,1264.5,0.5,2644.75,1.0,1.0,610.5,1.0,1197.5,870.0,396.75,717.0,453.75,1038.25,1067.75,903.5,1.0,1.0,440.25,1.0,2637.75,1.0,2355.0,753.25,876.5,422.25,2326.25,3.0,1.0,,,,"POLYGON ((-61.07191701889754 6.351766966217052, -61.0719170187488 6.261766966476774, -61.16191701871906 6.261766966619461, -61.16191701886815 6.351766966359545, -61.07191701889754 6.351766966217052))"
16,16,CUY,1,99.33662506903877,0.75,9123.75,895.25,10314.25,440.5,9132.5,1.0,472.5,949.5,15.0,5353.0,5352.5,1992.75,778.75,707.0,1092.5,1.0,4556.25,3052.5,10300.25,1.0,1.0,1.0,851.5,1131.0,4562.75,1.25,1945.0,3040.5,2576.5,1.0,1.0,1.0,978.75,1.0,1289.25,0.75,2543.0,1.0,1.0,948.5,1.0,1211.5,887.0,594.25,705.0,463.0,1057.5,1104.75,923.0,1.0,1.0,449.25,1.0,2534.75,1.0,2571.5,779.5,892.5,633.75,2211.0,4.0,,,,,"POLYGON ((-61.07191701904628 6.441766965957986, -61.07191701889754 6.351766966217052, -61.16191701886815 6.351766966359545, -61.16191701901726 6.441766966100288, -61.07191701904628 6.441766965957986))"
17,17,CUY,1,99.31927469459136,1.0,8851.75,890.25,10574.25,437.75,8864.5,1.0,471.75,1338.0,21.25,5630.25,5629.75,2249.0,772.0,716.75,1085.25,1.0,4578.0,3316.5,10561.5,1.0,1.0,1.0,848.0,1111.5,4584.75,1.5,2195.75,3306.75,2781.75,1.0,1.0,1.0,943.75,1.0,1285.75,1.0,2619.75,1.0,1.0,1336.75,1.0,1199.0,885.0,775.25,715.0,462.75,1053.25,1114.0,916.0,1.0,1.0,446.5,1.0,2610.25,1.0,2788.5,783.25,889.75,804.75,2054.0,4.0,,,,,"POLYGON ((-61.07191701919503 6.531766965699576, -61.07191701904628 6.441766965957988, -61.16191701901726 6.441766966100288, -61.16191701916636 6.531766965841688, -61.07191701919503 6.531766965699576))"
18,18,CUY,1,99.30168306698785,1.0,8825.5,894.5,10565.75,439.75,8843.75,2.0,476.0,1357.75,61.0,5657.0,5657.0,2331.0,773.75,781.25,1088.5,1.0,4554.0,3310.25,10552.0,6.0,1.0,1.0,854.25,1105.5,4560.5,11.25,2275.75,3302.0,3091.25,1.0,1.25,1.0,919.25,1.0,1289.75,1.0,2584.25,1.0,1.0,1356.25,1.0,1167.5,890.75,777.75,779.5,467.25,1051.25,1120.5,919.25,1.0,1.0,448.5,1.0,2573.5,1.0,3105.75,784.5,897.0,783.25,1897.0,4.0,,,,,"POLYGON ((-61.07191701934379 6.621766965441831, -61.07191701919503 6.531766965699576, -61.16191701916636 6.531766965841688, -61.16191701931548 6.62176696558375, -61.07191701934379 6.621766965441831))"
19,19,CUY,1,99.2838502235397,1.0,8572.25,915.75,10316.0,451.0,8609.75,7.0,488.25,1333.75,130.75,5582.5,5582.5,2339.0,794.0,858.5,1109.5,1.0,4449.75,2755.0,10284.5,19.25,1.0,1.0,875.0,1135.75,4456.75,32.25,2283.5,2748.5,3471.75,1.0,6.0,1.0,944.0,1.0,1307.25,1.0,2372.5,1.0,1.0,1332.0,1.0,1128.25,906.5,798.5,856.5,479.25,1056.25,1149.25,944.0,1.0,1.0,460.0,1.0,2358.5,1.0,3489.0,804.5,918.75,804.0,1781.75,4.0,,,,,"POLYGON ((-61.07191701949255 6.711766965184754, -61.07191701934379 6.621766965441831, -61.16191701931548 6.62176696558375, -61.16191701946461 6.711766965326475, -61.07191701949255 6.711766965184754))"
20,20,CUY,1,99.45973481049283,0.0,12606.0,0.0,10779.0,380.0,12606.0,1.0,420.3333333333333,0.0,37.333333333333336,5111.333333333333,5111.333333333333,1701.3333333333333,709.3333333333334,649.0,966.6666666666666,0.0,0.0,3856.0,10779.0,1.0,1.0,1.0,778.6666666666666,1020.6666666666666,0.0,7.666666666666667,1660.0,3860.0,2510.3333333333335,1.0,1.0,1.0,856.6666666666666,1.0,1152.0,0.0,2818.0,0.0,1.0,0.0,1.0,1079.0,798.3333333333334,0.0,646.0,411.6666666666667,957.6666666666666,982.6666666666666,865.6666666666666,1.0,1.0,387.6666666666667,1.0,2817.0,1.0,2516.3333333333335,692.0,0.0,0.0,2085.3333333333335,2.0,1.0,,,,"POLYGON ((-60.98191701773935 5.631766968169331, -60.98191701759099 5.541766968434011, -61.07191701755895 5.541766968577804, -61.07191701770769 5.631766968312941, -60.98191701773935 5.631766968169331))"
21,21,CUY,1,99.44456764777526,0.0,12642.0,0.0,10689.5,383.25,12642.0,1.0,419.75,0.0,20.25,4975.75,4976.0,1612.75,708.75,644.75,964.25,0.0,0.0,3863.5,10689.5,1.0,1.0,1.0,775.25,1019.25,0.0,2.25,1574.0,3866.5,2446.0,1.0,1.0,1.0,862.5,1.0,1152.25,0.0,2820.25,0.0,1.0,0.0,1.0,1091.5,798.5,0.0,641.75,411.5,959.5,982.0,864.75,1.0,1.0,391.0,1.0,2819.25,1.0,2451.25,692.5,0.0,0.0,2128.25,3.0,1.0,,,,"POLYGON ((-60.98191701788772 5.721766967905282, -60.98191701773935 5.631766968169331, -61.07191701770769 5.631766968312941, -61.07191701785641 5.721766968048714, -60.98191701788772 5.721766967905282))"
22,22,CUY,1,99.42915908031841,0.0,12487.25,207.25,10537.75,396.0,12487.25,1.0,426.75,0.0,14.25,4922.5,4922.75,1641.5,723.75,695.25,982.5,0.25,1179.75,3898.25,10537.75,1.0,1.0,1.0,787.5,1040.25,1181.0,1.0,1601.5,3894.75,2441.0,1.0,1.0,1.0,876.75,1.0,1174.5,0.0,2799.75,0.25,1.0,0.0,1.0,1115.5,813.75,0.0,691.75,418.75,976.25,999.75,882.0,1.0,1.0,404.0,1.0,2797.75,1.0,2443.0,704.5,211.5,0.0,2175.5,4.0,,,,,"POLYGON ((-60.98191701803609 5.811766967641868, -60.98191701788772 5.721766967905283, -61.07191701785641 5.721766968048716, -61.07191701800514 5.811766967785121, -60.98191701803609 5.811766967641868))"
23,23,CUY,1,99.41350914064346,0.0,12557.5,207.25,10449.75,395.75,12557.5,1.0,427.0,0.0,7.75,4775.5,4775.25,1548.75,723.0,691.0,983.25,0.25,1179.75,3907.0,10449.25,1.0,1.0,1.0,784.25,1039.5,1181.0,1.0,1511.25,3902.0,2368.25,1.0,1.0,1.0,872.0,1.0,1175.25,0.0,2819.5,0.25,1.0,0.0,1.0,1118.75,814.0,0.0,687.25,419.0,973.25,1000.25,880.25,1.0,1.0,403.5,1.0,2817.0,1.0,2369.0,706.75,211.5,0.0,2221.5,4.0,,,,,"POLYGON ((-60.98191701818446 5.901766967379094, -60.98191701803609 5.811766967641868, -61.07191701800514 5.811766967785121, -61.07191701815387 5.901766967522164, -60.98191701818446 5.901766967379094))"
24,24,CUY,1,99.39761786179288,0.0,12739.5,0.0,10426.5,378.0,12739.5,1.0,416.75,0.0,1.0,4473.0,4472.75,1413.75,698.5,320.25,956.5,0.0,0.0,3861.0,10426.0,1.0,1.0,1.0,757.75,1004.75,0.0,1.0,1380.75,3860.5,2240.5,1.0,1.0,1.0,431.25,1.0,1142.75,0.0,2712.25,0.0,1.0,0.0,0.5,1088.25,791.5,0.0,318.5,408.25,941.25,966.5,431.25,1.0,1.0,385.75,0.5,2710.75,1.0,2242.25,685.0,0.0,0.0,2266.75,3.0,1.0,,,,"POLYGON ((-60.98191701833283 5.991766967116963, -60.98191701818446 5.901766967379094, -61.07191701815387 5.901766967522164, -61.07191701830259 5.991766967259844, -60.98191701833283 5.991766967116963))"
25,25,CUY,1,99.3814852773057,0.0,12807.25,0.0,10418.75,384.5,12807.25,1.0,419.0,0.0,1.0,4445.0,4445.0,1444.25,690.75,306.5,963.5,0.0,0.0,3873.5,10418.75,1.0,1.0,1.0,760.25,994.5,0.0,1.0,1411.0,3871.5,2211.0,1.0,1.0,1.0,439.25,1.0,1145.25,0.0,2738.25,0.0,1.0,0.0,0.5,1091.0,792.25,0.0,305.0,410.5,944.0,964.0,412.0,1.0,1.0,392.25,0.5,2735.5,1.0,2211.5,683.0,0.0,0.0,2291.25,3.0,1.0,,,,"POLYGON ((-60.98191701848119 6.081766966855479, -60.98191701833283 5.991766967116964, -61.07191701830259 5.991766967259845, -61.07191701845133 6.081766966998173, -60.98191701848119 6.081766966855479))"
26,26,CUY,1,99.36511142124306,0.0,12721.333333333334,281.6666666666667,10310.833333333334,403.6666666666667,12721.666666666666,1.0,433.3333333333333,0.0,1.0,4543.666666666667,4543.666666666667,1468.1666666666667,707.6666666666666,663.0,1001.1666666666666,0.3333333333333333,1595.6666666666667,3945.1666666666665,10309.833333333334,1.0,1.0,1.0,786.5,1020.1666666666666,1597.6666666666667,1.0,1433.6666666666667,3938.1666666666665,2205.3333333333335,1.0,1.0,1.0,892.5,1.0,1184.8333333333333,0.0,2892.1666666666665,0.3333333333333333,1.0,0.0,1.0,1129.1666666666667,818.1666666666666,0.0,660.3333333333334,425.1666666666667,976.5,996.6666666666666,841.0,1.0,1.0,411.5,1.0,2887.0,1.0,2203.0,705.0,281.8333333333333,0.0,2338.6666666666665,5.0,1.0,,,,"POLYGON ((-60.98191701862956 6.17176696659464, -60.98191701848119 6.081766966855479, -61.07191701845133 6.081766966998173, -61.07191701860006 6.17176696673715, -60.98191701862956 6.17176696659464))"
27,27,CUY,1,99.34849632816238,0.0,12623.75,421.75,10233.75,408.5,12626.25,1.0,439.25,0.0,1.0,4526.75,4526.75,1486.0,716.25,699.5,1013.75,0.5,2286.0,3986.0,10230.75,1.0,1.0,1.0,792.5,1032.5,2289.0,1.0,1450.5,3976.25,2208.0,1.0,1.0,1.0,898.5,1.0,1200.25,0.0,2880.0,0.5,1.0,0.0,1.0,1138.75,828.5,0.0,698.0,430.75,984.5,1005.25,850.75,1.0,1.0,416.5,1.0,2873.75,1.0,2203.5,710.5,420.5,0.0,2370.0,2.0,2.0,,,,"POLYGON ((-60.98191701877795 6.261766966334455, -60.98191701862956 6.17176696659464, -61.07191701860006 6.17176696673715, -61.0719170187488 6.261766966476774, -60.98191701877795 6.261766966334455))"
