mode,crop_combo
1,CONHI
2,CONII
3,CONHR
4,CONIR
5,CONLR
6,SGCHI
7,SGCII
8,SGCHR
9,SGCIR
10,SGCLR
11,MZEHI
12,MZEII
13,MZEHR
14,MZEIR
15,MZELR
16,RCPHI
17,RCPII
18,RCPHR
19,RCPIR
20,RCPLR
21,OTHHI
22,OTHII
23,OTHHR
24,OTHIR
25,OTHLR
26,BAR
27,FOR
28,GRS
29,BLT
30,WAT
31,OTH
